============================================================
Nights with ≥3 stars available (good for 2-3 day observing runs):
============================================================
  2027-05-08  (May): 15 stars — 327246, 327341, 327657, 327764, 336199, 336615, 340247, 340251, 340253, 340647, 340867, 340877, 349778, 370939, 390231
  2027-05-09  (May): 12 stars — 327246, 327657, 327764, 336199, 340251, 340253, 340647, 340867, 340877, 349778, 370939, 390231
  2027-05-10  (May): 11 stars — 327246, 327657, 327764, 336199, 340253, 340647, 340867, 340877, 349778, 370939, 390231
  2027-05-11  (May): 11 stars — 327246, 327657, 327764, 336199, 340253, 340647, 340867, 340877, 349778, 370939, 390231
  2027-05-12  (May): 11 stars — 327246, 327657, 327764, 336199, 340253, 340647, 340867, 340877, 349778, 370939, 390231
  2027-05-13  (May): 9 stars — 327246, 327657, 327764, 336199, 340253, 340647, 340867, 349778, 370939
  2027-05-14  (May): 9 stars — 327246, 327657, 327764, 336199, 340253, 340647, 340867, 349778, 370939
  2027-05-15  (May): 9 stars — 327246, 327657, 327764, 336199, 340253, 340867, 340895, 349778, 370939
  2027-05-16  (May): 8 stars — 327657, 327764, 336199, 340253, 340867, 340895, 349778, 370939
  2027-05-17  (May): 8 stars — 327657, 327764, 336199, 340253, 340867, 340895, 349778, 370939
  2027-05-18  (May): 10 stars — 327561, 327657, 327764, 336199, 340253, 340867, 340895, 349778, 370939, 884890
  2027-05-19  (May): 11 stars — 327561, 327657, 327764, 336199, 340253, 340867, 340895, 349778, 369489, 370939, 884890
  2027-05-20  (May): 11 stars — 327561, 327657, 327764, 336199, 340253, 340867, 340895, 349778, 369489, 370939, 884890
  2027-05-21  (May): 12 stars — 327561, 327657, 327764, 336199, 340253, 340664, 340867, 340895, 349778, 369489, 370939, 884890
  2027-05-22  (May): 11 stars — 327561, 327657, 327764, 336199, 340664, 340669, 340895, 349778, 369489, 370939, 884890
  2027-05-23  (May): 9 stars — 327657, 327764, 336199, 340664, 340669, 340895, 349778, 369489, 370939
  2027-05-24  (May): 7 stars — 327657, 327764, 336199, 340895, 349778, 369489, 370939
  2027-05-25  (May): 8 stars — 327657, 327764, 336199, 340664, 340895, 349778, 369489, 370939
  2027-05-26  (May): 9 stars — 327657, 327764, 336199, 340664, 340669, 340895, 349778, 369489, 370939
  2027-05-27  (May): 9 stars — 327657, 327764, 336199, 340664, 340669, 340895, 349778, 369489, 370939
  2027-05-28  (May): 9 stars — 327657, 327764, 336199, 340664, 340669, 340895, 349778, 369489, 370939
  2027-05-29  (May): 9 stars — 327657, 327764, 336199, 340664, 340669, 340895, 349778, 369489, 370939
  2027-05-30  (May): 9 stars — 327657, 327764, 336199, 340664, 340669, 340895, 349778, 369489, 370939
  2027-05-31  (May): 9 stars — 327657, 327764, 336199, 340664, 340669, 340895, 349778, 369489, 370939
